Candidate UID,Service,Talent Segment,Level,Skills,Coming Available,Local Office,Local Preference
251,Technology,IT Operations,8,Cloud/Java/,2020-07-01 00:00:00,Denver,Yes
252,Interactive,IT Operations,3,Java/Python/,2020-12-01 00:00:00,NYC,Yes
253,Interactive,Design,7,PowerPoint/Excel/Adobe/PhotoShop/,2020-10-01 00:00:00,Denver,Yes
254,Strategy & Consulting,Legal,6,Excel/Oral communication/Bar/PowerPoint/,2020-03-01 00:00:00,Boston,Yes
255,Strategy & Consulting,Finance,6,Excel/QuickBooks/PowerPoint/,2020-03-01 00:00:00,Boston,Yes
256,Operations,Business,3,Salesforce/,2020-06-01 00:00:00,Denver,Yes
257,Operations,Business,11,Excel/Salesforce/Salesforce/Salesforce/,2020-06-01 00:00:00,NYC,No
258,Strategy & Consulting,Security,5,Python/Cloud/Python/Cloud/,2020-12-01 00:00:00,Denver,No
259,Operations,Engineering,10,MATLAB/MATLAB/Java/,2020-01-01 00:00:00,Chicago,No
260,Operations,IT Operations,1,PowerPoint/Oracle/Oracle/,2020-06-01 00:00:00,NYC,No
261,Technology,Finance,8,PowerPoint/QuickBooks/QuickBooks/,2020-02-01 00:00:00,Boston,Yes
262,Strategy & Consulting,Engineering,8,MATLAB/,2020-12-01 00:00:00,NYC,Yes
263,Strategy & Consulting,Business,10,Salesforce/PowerPoint/Salesforce/,2020-08-01 00:00:00,DC,Yes
264,Technology,IT Operations,4,ML/Python/PowerPoint/Python/,2020-03-01 00:00:00,Denver,Yes
265,Technology,Business,5,PowerPoint/Excel/PowerPoint/PowerPoint/,2020-11-01 00:00:00,DC,Yes
266,Operations,Human Resources,6,PowerPoint/,2020-06-01 00:00:00,NYC,Yes
267,Technology,Design,5,React.js/Excel/React.js/,2020-07-01 00:00:00,NYC,No
268,Technology,Strategy,10,Critical thinking/Excel/,2020-07-01 00:00:00,Denver,Yes
269,Strategy & Consulting,Design,1,PhotoShop/PowerPoint/React.js/Excel/,2020-05-01 00:00:00,Denver,Yes
270,Operations,Account Leadership,10,Excel/,2020-09-01 00:00:00,NYC,No
271,Interactive,Strategy,1,Critical thinking/,2020-07-01 00:00:00,Boston,No
272,Strategy & Consulting,Account Leadership,9,PowerPoint/Leadership/ML/ML/,2020-12-01 00:00:00,Denver,No
273,Operations,Legal,7,Oral communication/PowerPoint/Oral communication/,2020-06-01 00:00:00,DC,No
274,Strategy & Consulting,Legal,5,Excel/Oral communication/Bar/,2020-04-01 00:00:00,Chicago,No
275,Strategy & Consulting,Security,8,Excel/Oracle/,2020-08-01 00:00:00,NYC,No
276,Operations,Account Leadership,2,ML/Cloud/PowerPoint/Cloud/,2020-10-01 00:00:00,Chicago,No
277,Operations,Human Resources,2,Workday/Oral communication/,2020-09-01 00:00:00,NYC,Yes
278,Interactive,Security,2,Oracle/PowerPoint/,2020-07-01 00:00:00,Chicago,No
279,Strategy & Consulting,Strategy,2,Excel/Critical thinking/PowerPoint/,2020-10-01 00:00:00,Denver,No
280,Operations,Engineering,6,PowerPoint/MATLAB/Python/,2020-07-01 00:00:00,Denver,No
281,Strategy & Consulting,Account Leadership,7,Leadership/,2020-11-01 00:00:00,Chicago,Yes
282,Interactive,Account Leadership,10,Excel/ML/,2020-06-01 00:00:00,Boston,Yes
283,Strategy & Consulting,Design,8,Adobe/,2020-07-01 00:00:00,Chicago,Yes
284,Strategy & Consulting,IT Operations,10,Python/Java/,2020-09-01 00:00:00,NYC,No
285,Operations,IT Operations,1,Oracle/Cloud/,2020-12-01 00:00:00,NYC,Yes
286,Technology,Engineering,6,Excel/,2020-02-01 00:00:00,Denver,No
287,Technology,Business,6,Excel/Salesforce/Salesforce/PowerPoint/,2020-11-01 00:00:00,Chicago,No
288,Interactive,Security,4,Python/PowerPoint/,2020-07-01 00:00:00,Boston,Yes
289,Operations,Finance,6,QuickBooks/SAP/,2020-09-01 00:00:00,Denver,No
290,Interactive,Account Leadership,4,Oral communication/Cloud/ML/,2020-08-01 00:00:00,Denver,No
291,Operations,Business,2,Salesforce/Excel/,2020-05-01 00:00:00,NYC,Yes
292,Operations,Business,9,Salesforce/Excel/,2020-04-01 00:00:00,Chicago,Yes
293,Strategy & Consulting,Human Resources,6,PowerPoint/Excel/,2020-05-01 00:00:00,DC,No
294,Strategy & Consulting,Security,2,Java/,2020-11-01 00:00:00,NYC,Yes
295,Strategy & Consulting,Design,2,React.js/Adobe/Adobe/,2020-11-01 00:00:00,Chicago,No
296,Technology,Security,10,Python/PowerPoint/Cloud/PowerPoint/,2020-08-01 00:00:00,Chicago,Yes
297,Strategy & Consulting,Account Leadership,8,Leadership/ML/PowerPoint/Cloud/,2020-08-01 00:00:00,Denver,Yes
298,Strategy & Consulting,Account Leadership,2,Cloud/Leadership/ML/,2020-02-01 00:00:00,NYC,No
299,Interactive,Engineering,3,Java/Excel/Java/,2020-04-01 00:00:00,Denver,No
300,Interactive,Human Resources,9,Excel/Excel/PowerPoint/,2020-09-01 00:00:00,NYC,Yes
301,Strategy & Consulting,IT Operations,8,ML/,2020-06-01 00:00:00,Boston,No
302,Technology,Legal,11,Bar/,2020-02-01 00:00:00,Chicago,No
303,Technology,Engineering,8,Python/Java/,2020-12-01 00:00:00,Chicago,Yes
304,Strategy & Consulting,Finance,5,SAP/SAP/SAP/Excel/,2020-09-01 00:00:00,DC,Yes
305,Strategy & Consulting,IT Operations,8,Cloud/Excel/,2020-01-01 00:00:00,Denver,No
306,Strategy & Consulting,Security,11,Excel/Java/ML/PowerPoint/,2020-02-01 00:00:00,NYC,Yes
307,Interactive,Engineering,11,Java/,2020-12-01 00:00:00,Denver,No
308,Technology,IT Operations,6,Python/PowerPoint/Cloud/,2020-10-01 00:00:00,Chicago,No
309,Operations,Finance,1,QuickBooks/PowerPoint/,2020-02-01 00:00:00,Boston,No
310,Technology,Security,9,Excel/Cloud/ML/Java/,2020-05-01 00:00:00,Boston,Yes
311,Technology,Legal,11,Excel/,2020-05-01 00:00:00,Chicago,No
312,Technology,Strategy,7,PowerPoint/Excel/Excel/PowerPoint/,2020-05-01 00:00:00,DC,No
313,Operations,Engineering,4,MATLAB/PowerPoint/,2020-09-01 00:00:00,DC,Yes
314,Operations,Finance,1,SAP/SAP/PowerPoint/PowerPoint/,2020-09-01 00:00:00,NYC,No
315,Technology,IT Operations,7,ML/,2020-08-01 00:00:00,Chicago,No
316,Strategy & Consulting,Strategy,3,Excel/,2020-11-01 00:00:00,DC,Yes
317,Interactive,Human Resources,4,Excel/Workday/,2020-08-01 00:00:00,DC,No
318,Technology,IT Operations,5,Oracle/Java/,2020-06-01 00:00:00,Chicago,No
319,Strategy & Consulting,Account Leadership,6,ML/Oral communication/,2020-11-01 00:00:00,Chicago,No
320,Operations,Business,5,PowerPoint/,2020-09-01 00:00:00,DC,Yes
321,Interactive,Account Leadership,8,Excel/Excel/ML/PowerPoint/,2020-10-01 00:00:00,Chicago,Yes
322,Operations,Security,9,ML/Oracle/Python/ML/,2020-02-01 00:00:00,Boston,No
323,Strategy & Consulting,Strategy,2,Critical thinking/Excel/PowerPoint/Excel/,2020-09-01 00:00:00,Boston,No
324,Interactive,Legal,2,Excel/,2020-01-01 00:00:00,NYC,No
325,Technology,Human Resources,4,Workday/Oral communication/PowerPoint/,2020-01-01 00:00:00,Chicago,No
326,Operations,Finance,7,QuickBooks/Excel/PowerPoint/,2020-08-01 00:00:00,NYC,No
327,Interactive,IT Operations,3,PowerPoint/,2020-04-01 00:00:00,NYC,No
328,Technology,Security,5,Excel/,2020-07-01 00:00:00,Boston,No
329,Interactive,Legal,11,Bar/,2020-06-01 00:00:00,NYC,No
330,Interactive,Human Resources,1,Workday/,2020-10-01 00:00:00,DC,Yes
331,Interactive,Engineering,8,Python/Python/,2020-06-01 00:00:00,NYC,Yes
332,Operations,Finance,4,QuickBooks/QuickBooks/Excel/QuickBooks/,2020-04-01 00:00:00,Chicago,No
333,Strategy & Consulting,Human Resources,7,Excel/Excel/Excel/,2020-09-01 00:00:00,NYC,Yes
334,Interactive,Business,11,PowerPoint/PowerPoint/Excel/,2020-06-01 00:00:00,Boston,Yes
335,Technology,Security,9,PowerPoint/,2020-04-01 00:00:00,Boston,Yes
336,Technology,Human Resources,9,Oral communication/PowerPoint/Excel/,2020-11-01 00:00:00,NYC,Yes
337,Operations,Engineering,8,MATLAB/Excel/,2020-09-01 00:00:00,DC,Yes
338,Interactive,Legal,5,Oral communication/PowerPoint/Oral communication/Oral communication/,2020-04-01 00:00:00,DC,Yes
339,Strategy & Consulting,Strategy,3,Critical thinking/PowerPoint/PowerPoint/,2020-08-01 00:00:00,Chicago,Yes
340,Strategy & Consulting,Finance,9,PowerPoint/PowerPoint/QuickBooks/,2020-01-01 00:00:00,DC,No
341,Strategy & Consulting,Design,10,React.js/Excel/Adobe/,2020-04-01 00:00:00,DC,Yes
342,Operations,Legal,3,Excel/Oral communication/,2020-03-01 00:00:00,Boston,Yes
343,Interactive,Account Leadership,5,PowerPoint/ML/Cloud/,2020-07-01 00:00:00,Chicago,Yes
344,Interactive,Account Leadership,4,Leadership/Oral communication/ML/Excel/,2020-11-01 00:00:00,Boston,No
345,Strategy & Consulting,Engineering,4,Python/Java/MATLAB/,2020-03-01 00:00:00,DC,Yes
346,Technology,Business,9,PowerPoint/PowerPoint/PowerPoint/,2020-04-01 00:00:00,DC,Yes
347,Strategy & Consulting,Business,1,PowerPoint/PowerPoint/,2020-10-01 00:00:00,NYC,Yes
348,Operations,Finance,2,PowerPoint/SAP/QuickBooks/,2020-08-01 00:00:00,Boston,Yes
349,Strategy & Consulting,Business,8,Salesforce/Salesforce/Excel/,2020-11-01 00:00:00,Boston,Yes
350,Technology,Engineering,2,MATLAB/,2020-03-01 00:00:00,DC,Yes
351,Interactive,Design,7,Excel/,2020-02-01 00:00:00,Denver,Yes
352,Technology,Finance,8,Excel/,2020-01-01 00:00:00,DC,No
353,Interactive,Strategy,10,PowerPoint/Excel/,2020-02-01 00:00:00,Boston,Yes
354,Operations,Strategy,1,PowerPoint/Critical thinking/Excel/,2020-10-01 00:00:00,Denver,Yes
355,Operations,Human Resources,1,Workday/Excel/,2020-09-01 00:00:00,DC,Yes
356,Strategy & Consulting,Account Leadership,9,Oral communication/,2020-07-01 00:00:00,Chicago,Yes
357,Strategy & Consulting,Business,2,Excel/Salesforce/,2020-04-01 00:00:00,Boston,Yes
358,Operations,Design,6,PowerPoint/,2020-06-01 00:00:00,Denver,No
359,Technology,IT Operations,7,PowerPoint/PowerPoint/PowerPoint/ML/,2020-05-01 00:00:00,DC,Yes
360,Strategy & Consulting,Account Leadership,1,Excel/PowerPoint/PowerPoint/Oral communication/,2020-08-01 00:00:00,DC,No
361,Technology,Legal,5,Oral communication/Bar/,2020-03-01 00:00:00,Boston,No
362,Interactive,Business,11,PowerPoint/Salesforce/,2020-08-01 00:00:00,Chicago,No
363,Operations,Account Leadership,6,ML/Excel/PowerPoint/Leadership/,2020-11-01 00:00:00,NYC,No
364,Strategy & Consulting,Business,11,Excel/Salesforce/Excel/PowerPoint/,2020-02-01 00:00:00,Denver,No
365,Technology,Strategy,6,Excel/,2020-09-01 00:00:00,DC,Yes
366,Operations,Account Leadership,2,PowerPoint/Cloud/,2020-02-01 00:00:00,Boston,Yes
367,Interactive,Security,10,PowerPoint/,2020-12-01 00:00:00,Boston,No
368,Technology,Security,4,Java/Java/Excel/,2020-05-01 00:00:00,Denver,No
369,Strategy & Consulting,Security,10,Cloud/Java/,2020-06-01 00:00:00,DC,Yes
370,Strategy & Consulting,Engineering,11,MATLAB/Excel/,2020-09-01 00:00:00,DC,Yes
371,Interactive,Design,7,PowerPoint/PowerPoint/,2020-06-01 00:00:00,Denver,No
372,Interactive,Business,5,Excel/Excel/Salesforce/Salesforce/,2020-12-01 00:00:00,Chicago,No
373,Strategy & Consulting,Finance,4,PowerPoint/SAP/,2020-10-01 00:00:00,Boston,No
374,Operations,IT Operations,1,Excel/Java/Oracle/ML/,2020-07-01 00:00:00,Denver,Yes
375,Interactive,Finance,7,SAP/Excel/SAP/,2020-12-01 00:00:00,Denver,No
376,Interactive,Legal,6,PowerPoint/Oral communication/,2020-01-01 00:00:00,DC,No
377,Technology,IT Operations,5,Cloud/Excel/,2020-08-01 00:00:00,DC,Yes
378,Operations,Finance,11,Excel/PowerPoint/Excel/,2020-02-01 00:00:00,DC,No
379,Strategy & Consulting,Finance,5,PowerPoint/PowerPoint/SAP/PowerPoint/,2020-08-01 00:00:00,NYC,No
380,Strategy & Consulting,Strategy,9,Critical thinking/,2020-09-01 00:00:00,Denver,Yes
381,Technology,Finance,2,Excel/SAP/,2020-07-01 00:00:00,DC,Yes
382,Interactive,Strategy,1,PowerPoint/,2020-08-01 00:00:00,DC,Yes
383,Technology,Finance,10,PowerPoint/,2020-12-01 00:00:00,Chicago,Yes
384,Interactive,IT Operations,5,Java/,2020-07-01 00:00:00,DC,Yes
385,Interactive,Engineering,10,Java/Excel/Excel/,2020-06-01 00:00:00,NYC,Yes
386,Operations,Human Resources,7,Workday/PowerPoint/Oral communication/Workday/,2020-05-01 00:00:00,Boston,Yes
387,Operations,Business,7,Excel/Salesforce/Excel/,2020-12-01 00:00:00,Denver,No
388,Interactive,Design,10,React.js/PhotoShop/Adobe/,2020-09-01 00:00:00,Chicago,No
389,Technology,Legal,3,Bar/,2020-08-01 00:00:00,Boston,Yes
390,Interactive,Finance,2,Excel/PowerPoint/PowerPoint/Excel/,2020-09-01 00:00:00,Boston,No
391,Interactive,Strategy,11,PowerPoint/Critical thinking/Excel/Excel/,2020-05-01 00:00:00,Boston,Yes
392,Technology,Business,10,PowerPoint/Excel/PowerPoint/,2020-03-01 00:00:00,Boston,No
393,Interactive,Account Leadership,9,Oral communication/Cloud/Cloud/,2020-12-01 00:00:00,Boston,No
394,Operations,Finance,1,PowerPoint/,2020-09-01 00:00:00,Boston,Yes
395,Interactive,Finance,11,QuickBooks/,2020-05-01 00:00:00,Chicago,No
396,Interactive,Account Leadership,9,PowerPoint/,2020-04-01 00:00:00,Denver,Yes
397,Interactive,Account Leadership,2,Cloud/PowerPoint/Cloud/,2020-01-01 00:00:00,Chicago,No
398,Interactive,IT Operations,4,Cloud/,2020-11-01 00:00:00,Denver,No
399,Technology,Finance,2,PowerPoint/QuickBooks/,2020-02-01 00:00:00,NYC,Yes
400,Interactive,IT Operations,10,PowerPoint/,2020-07-01 00:00:00,NYC,No
401,Interactive,Design,9,PhotoShop/Adobe/,2020-06-01 00:00:00,Denver,No
402,Technology,Human Resources,9,Workday/Workday/,2020-07-01 00:00:00,Denver,No
403,Technology,Account Leadership,5,ML/Oral communication/Oral communication/,2020-02-01 00:00:00,Boston,No
404,Technology,Finance,4,QuickBooks/,2020-01-01 00:00:00,Chicago,Yes
405,Technology,Finance,9,Excel/QuickBooks/,2020-02-01 00:00:00,DC,Yes
406,Interactive,Finance,1,SAP/Excel/SAP/SAP/,2020-09-01 00:00:00,NYC,Yes
407,Strategy & Consulting,Strategy,2,Excel/Critical thinking/PowerPoint/,2020-05-01 00:00:00,NYC,No
408,Technology,Legal,1,PowerPoint/,2020-04-01 00:00:00,NYC,No
409,Interactive,IT Operations,10,Java/Python/Excel/,2020-03-01 00:00:00,DC,Yes
410,Strategy & Consulting,Account Leadership,5,Excel/,2020-02-01 00:00:00,Boston,No
411,Operations,Human Resources,9,Excel/,2020-07-01 00:00:00,Denver,No
412,Interactive,Legal,6,PowerPoint/Bar/,2020-08-01 00:00:00,NYC,No
413,Interactive,Finance,3,Excel/QuickBooks/PowerPoint/,2020-01-01 00:00:00,Chicago,Yes
414,Technology,Security,4,Python/Java/Oracle/Java/,2020-04-01 00:00:00,Boston,No
415,Technology,Engineering,9,Java/,2020-04-01 00:00:00,Denver,Yes
416,Operations,Design,3,PowerPoint/,2020-02-01 00:00:00,NYC,No
417,Operations,Legal,4,Bar/Oral communication/,2020-03-01 00:00:00,NYC,Yes
418,Interactive,Engineering,2,MATLAB/PowerPoint/Python/MATLAB/,2020-05-01 00:00:00,Chicago,Yes
419,Operations,IT Operations,1,Oracle/Oracle/Oracle/Java/,2020-04-01 00:00:00,NYC,No
420,Strategy & Consulting,Account Leadership,8,Excel/,2020-07-01 00:00:00,Chicago,No
421,Technology,Engineering,2,PowerPoint/Python/PowerPoint/,2020-01-01 00:00:00,Chicago,No
422,Interactive,Human Resources,7,Oral communication/Oral communication/PowerPoint/,2020-05-01 00:00:00,NYC,Yes
423,Interactive,Design,5,Excel/,2020-07-01 00:00:00,Boston,No
424,Interactive,Strategy,3,Excel/Critical thinking/Critical thinking/Critical thinking/,2020-02-01 00:00:00,Chicago,Yes
425,Technology,Security,2,PowerPoint/Python/Excel/,2020-03-01 00:00:00,DC,No
426,Technology,Account Leadership,11,Cloud/,2020-10-01 00:00:00,Boston,No
427,Strategy & Consulting,Strategy,11,Excel/PowerPoint/,2020-10-01 00:00:00,Denver,No
428,Strategy & Consulting,Legal,2,Excel/Excel/,2020-12-01 00:00:00,Chicago,No
429,Operations,Business,5,Excel/PowerPoint/Excel/,2020-12-01 00:00:00,DC,Yes
430,Operations,Engineering,7,Python/,2020-09-01 00:00:00,Denver,No
431,Operations,IT Operations,2,Java/Java/Java/,2020-08-01 00:00:00,Boston,Yes
432,Interactive,Security,5,Java/Excel/Cloud/PowerPoint/,2020-06-01 00:00:00,NYC,Yes
433,Technology,Account Leadership,6,Cloud/ML/,2020-09-01 00:00:00,DC,No
434,Interactive,Legal,1,PowerPoint/Bar/PowerPoint/,2020-10-01 00:00:00,Boston,Yes
435,Operations,Legal,7,Bar/Bar/Bar/Excel/,2020-07-01 00:00:00,NYC,Yes
436,Technology,Human Resources,9,Excel/Oral communication/Oral communication/Excel/,2020-11-01 00:00:00,Chicago,Yes
437,Technology,Finance,4,QuickBooks/QuickBooks/,2020-07-01 00:00:00,Chicago,No
438,Strategy & Consulting,IT Operations,10,ML/Java/,2020-08-01 00:00:00,NYC,Yes
439,Strategy & Consulting,Security,8,Java/Python/Java/,2020-01-01 00:00:00,Denver,No
440,Strategy & Consulting,Business,9,PowerPoint/,2020-05-01 00:00:00,Boston,Yes
441,Operations,Strategy,11,Critical thinking/Excel/Excel/,2020-10-01 00:00:00,NYC,No
442,Operations,Design,11,Adobe/,2020-02-01 00:00:00,Boston,No
443,Interactive,Human Resources,2,PowerPoint/Oral communication/Workday/,2020-07-01 00:00:00,NYC,Yes
444,Technology,Legal,6,Excel/,2020-09-01 00:00:00,DC,No
445,Strategy & Consulting,Legal,1,PowerPoint/Excel/Bar/,2020-02-01 00:00:00,Boston,No
446,Technology,Engineering,4,Python/PowerPoint/Java/MATLAB/,2020-01-01 00:00:00,Denver,Yes
447,Strategy & Consulting,Business,5,Excel/Salesforce/Salesforce/Excel/,2020-06-01 00:00:00,Boston,Yes
448,Technology,Security,5,ML/Oracle/ML/ML/,2020-12-01 00:00:00,DC,Yes
449,Strategy & Consulting,Engineering,1,PowerPoint/Python/Excel/PowerPoint/,2020-10-01 00:00:00,Denver,Yes
450,Technology,Finance,6,SAP/QuickBooks/Excel/,2020-04-01 00:00:00,NYC,No
451,Interactive,Account Leadership,6,Leadership/PowerPoint/,2020-03-01 00:00:00,DC,No
452,Interactive,Human Resources,6,Workday/Excel/Oral communication/PowerPoint/,2020-04-01 00:00:00,Boston,Yes
453,Technology,Strategy,5,PowerPoint/,2020-08-01 00:00:00,DC,Yes
454,Interactive,Strategy,2,Excel/,2020-04-01 00:00:00,NYC,No
455,Strategy & Consulting,Engineering,9,Python/Java/PowerPoint/Python/,2020-06-01 00:00:00,DC,No
456,Strategy & Consulting,Strategy,7,PowerPoint/PowerPoint/PowerPoint/,2020-02-01 00:00:00,Denver,Yes
457,Interactive,Human Resources,10,Oral communication/Oral communication/Workday/,2020-01-01 00:00:00,DC,No
458,Technology,Finance,2,PowerPoint/QuickBooks/,2020-11-01 00:00:00,Denver,No
459,Interactive,Engineering,11,MATLAB/MATLAB/,2020-06-01 00:00:00,Chicago,Yes
460,Strategy & Consulting,Design,6,PowerPoint/Adobe/PowerPoint/,2020-09-01 00:00:00,Boston,No
461,Technology,Finance,2,PowerPoint/,2020-01-01 00:00:00,DC,No
462,Operations,Design,2,PhotoShop/PowerPoint/Adobe/PhotoShop/,2020-03-01 00:00:00,DC,Yes
463,Technology,IT Operations,3,PowerPoint/PowerPoint/PowerPoint/Excel/,2020-04-01 00:00:00,Boston,Yes
464,Interactive,Human Resources,3,Excel/,2020-10-01 00:00:00,NYC,Yes
465,Interactive,Account Leadership,2,ML/,2020-01-01 00:00:00,DC,No
466,Interactive,Legal,10,Bar/Bar/Excel/Bar/,2020-09-01 00:00:00,Boston,No
467,Technology,Engineering,2,MATLAB/Python/Python/,2020-03-01 00:00:00,Chicago,Yes
468,Technology,Engineering,7,MATLAB/,2020-11-01 00:00:00,Boston,No
469,Operations,Strategy,10,Excel/Excel/PowerPoint/PowerPoint/,2020-03-01 00:00:00,NYC,No
470,Operations,IT Operations,6,Cloud/Oracle/Python/Oracle/,2020-01-01 00:00:00,Denver,Yes
471,Operations,Design,9,React.js/PowerPoint/Excel/,2020-01-01 00:00:00,DC,Yes
472,Interactive,Design,3,Adobe/Excel/PowerPoint/Adobe/,2020-09-01 00:00:00,Boston,No
473,Strategy & Consulting,Human Resources,10,PowerPoint/,2020-02-01 00:00:00,Chicago,Yes
474,Strategy & Consulting,Engineering,5,Python/,2020-09-01 00:00:00,Boston,Yes
475,Operations,IT Operations,8,Java/ML/,2020-07-01 00:00:00,Denver,Yes
476,Strategy & Consulting,Design,7,PowerPoint/Adobe/PhotoShop/,2020-12-01 00:00:00,NYC,No
477,Strategy & Consulting,Business,6,Salesforce/,2020-11-01 00:00:00,NYC,Yes
478,Strategy & Consulting,Finance,10,Excel/,2020-07-01 00:00:00,Boston,Yes
479,Operations,Strategy,9,Critical thinking/PowerPoint/Excel/PowerPoint/,2020-12-01 00:00:00,Denver,Yes
480,Operations,Business,7,Salesforce/,2020-05-01 00:00:00,Boston,Yes
481,Technology,Design,2,React.js/PowerPoint/PowerPoint/React.js/,2020-01-01 00:00:00,DC,No
482,Technology,Legal,6,PowerPoint/Excel/Bar/,2020-10-01 00:00:00,DC,Yes
483,Interactive,Human Resources,7,Oral communication/Workday/,2020-05-01 00:00:00,Chicago,No
484,Technology,Finance,11,Excel/PowerPoint/,2020-06-01 00:00:00,NYC,Yes
485,Interactive,Business,11,Salesforce/Excel/PowerPoint/,2020-10-01 00:00:00,Denver,No
486,Interactive,Human Resources,2,Oral communication/PowerPoint/Workday/PowerPoint/,2020-05-01 00:00:00,DC,Yes
487,Operations,Business,11,PowerPoint/PowerPoint/,2020-05-01 00:00:00,DC,No
488,Strategy & Consulting,Design,8,Adobe/,2020-09-01 00:00:00,DC,Yes
489,Technology,Human Resources,4,PowerPoint/Workday/Workday/,2020-12-01 00:00:00,NYC,No
490,Operations,Strategy,11,PowerPoint/,2020-11-01 00:00:00,Denver,Yes
491,Technology,Account Leadership,10,Excel/,2020-09-01 00:00:00,Denver,No
492,Interactive,Account Leadership,8,Cloud/Leadership/PowerPoint/Cloud/,2020-03-01 00:00:00,DC,No
493,Strategy & Consulting,Finance,1,Excel/PowerPoint/PowerPoint/SAP/,2020-01-01 00:00:00,NYC,No
494,Strategy & Consulting,Account Leadership,6,Leadership/Oral communication/Leadership/,2020-08-01 00:00:00,NYC,No
495,Strategy & Consulting,Human Resources,4,Excel/Excel/Workday/,2020-06-01 00:00:00,NYC,Yes
496,Interactive,Design,7,Adobe/React.js/,2020-08-01 00:00:00,Denver,No
497,Operations,Account Leadership,3,ML/Cloud/,2020-10-01 00:00:00,Chicago,No
498,Operations,Security,10,ML/Excel/,2020-05-01 00:00:00,Chicago,Yes
499,Strategy & Consulting,IT Operations,1,PowerPoint/Python/Python/Oracle/,2020-03-01 00:00:00,Chicago,Yes
500,Technology,IT Operations,1,Oracle/Cloud/Java/ML/,2020-10-01 00:00:00,Chicago,No
